name,Cardinality,DataType,AssociatedObjectClass,cyclic,Definition,Examples
cbc:DeclaredForCarriageValueAmount,0..1,AmountType,,,"The value of this shipment, declared by the shipper or his agent solely for the purpose of varying the carrier's level of liability from that provided in the contract of carriage, in case of loss or damage to goods or delayed delivery.",
cbc:DeclaredStatisticsValueAmount,0..1,AmountType,,,"The value, declared for statistical purposes, of those goods in this shipment that have the same statistical heading.",
cbc:FreeOnBoardValueAmount,0..1,AmountType,,,The monetary amount that has to be or has been paid as calculated under the applicable trade delivery.,
cbc:SpecialInstructions,0..n,TextType,,,Special instructions relating to this shipment.,
cbc:DeliveryInstructions,0..n,TextType,,,Delivery instructions relating to this shipment.,
cbc:SplitConsignmentIndicator,0..1,IndicatorType,,,An indicator that the consignment has been split in transit (true) or not (false).,1
cbc:ConsignmentQuantity,0..1,QuantityType,,,The total number of consignments within this shipment.,
cac:Consignment,0..n,,Consignment,,A consignment covering this shipment.,
cac:GoodsItem,0..n,,GoodsItem,,A goods item included in this shipment.,
cac:ShipmentStage,0..n,,ShipmentStage,,A stage in the transport movement of this shipment.,
cac:Delivery,0..1,,Delivery,,The delivery of this shipment.,
cac:TransportHandlingUnit,0..n,,TransportHandlingUnit,,A transport handling unit associated with this shipment.,
cac:ReturnAddress,0..1,,Address,,The address to which a shipment should be returned.,
cac:OriginAddress,0..1,,Address,,"The region in which the goods have been produced or manufactured, according to criteria laid down for the purposes of application of the customs tariff, or of quantitative restrictions, or of any other measure related to trade.",
cac:FirstArrivalPortLocation,0..1,,Location,,"The first arrival location of a shipment. This would be a port for sea, an airport for air, a terminal for rail, or a border post for land crossing.",
cac:LastExitPortLocation,0..1,,Location,,"The final exporting location for a shipment. This would be a port for sea, an airport for air, a terminal for rail, or a border post for land crossing.",
cac:ExportCountry,0..1,,Country,,"The country from which the goods were originally exported, without any commercial transaction taking place in intermediate countries.",
cac:FreightAllowanceCharge,0..n,,AllowanceCharge,,"A cost incurred by the shipper in moving goods, by whatever means, from one place to another under the terms of the contract of carriage. In addition to transport costs, this may include such elements as packing, documentation, loading, unloading, and insurance to the extent that they relate to the freight costs.",
cac:ShipmentStage,,,,,A class to describe one stage of movement in a transport of goods.,
cbc:ID,0..1,IdentifierType,,,An identifier for this shipment stage.,"1 , 2 , etc.."
cbc:TransportModeCode,0..1,CodeType,,,A code signifying the method of transport used for this shipment stage.,
cbc:TransportMeansTypeCode,0..1,CodeType,,,"A code signifying the kind of transport means (truck, vessel, etc.) used for this shipment stage.",
cbc:TransitDirectionCode,0..1,CodeType,,,A code signifying the direction of transit in this shipment stage.,
cbc:PreCarriageIndicator,0..1,IndicatorType,,,An indicator that this stage takes place before the main carriage of the shipment (true) or not (false).,1
cbc:OnCarriageIndicator,0..1,IndicatorType,,,An indicator that this stage takes place after the main carriage of the shipment (true) or not (false).,1
cbc:EstimatedDeliveryDate,0..1,DateType,,,The estimated date of delivery in this shipment stage.,
cbc:EstimatedDeliveryTime,0..1,TimeType,,,The estimated time of delivery in this shipment stage.,
cbc:RequiredDeliveryDate,0..1,DateType,,,The delivery date required by the buyer in this shipment stage.,
cbc:RequiredDeliveryTime,0..1,TimeType,,,The delivery time required by the buyer in this shipment stage.,
cbc:LoadingSequenceID,0..1,IdentifierType,,,An identifier for the loading sequence (of consignments) associated with this shipment stage.,
cbc:SuccessiveSequenceID,0..1,IdentifierType,,,Identifies the successive loading sequence (of consignments) associated with a shipment stage.,
cbc:Instructions,0..n,TextType,,,Text of instructions applicable to a shipment stage.,
cbc:DemurrageInstructions,0..n,TextType,,,Text of instructions relating to demurrage (the case in which a vessel is prevented from loading or discharging cargo within the stipulated laytime).,
cbc:CrewQuantity,0..1,QuantityType,,,The total number of crew aboard a transport means.,
cbc:PassengerQuantity,0..1,QuantityType,,,The total number of passengers aboard a transport means.,
cac:TransitPeriod,0..1,,Period,,The period during which this shipment stage actually took place.,
cac:CarrierParty,0..n,,Party,,A carrier party responsible for this shipment stage.,
cac:TransportMeans,0..1,,TransportMeans,,The means of transport used in this shipment stage.,
cac:LoadingPortLocation,0..1,,Location,,The location of loading for a shipment stage.,
cac:UnloadingPortLocation,0..1,,Location,,The location of unloading for a shipment stage.,
cac:TransshipPortLocation,0..1,,Location,,The location of transshipment relating to a shipment stage.,
cac:LoadingTransportEvent,0..1,,TransportEvent,,The loading of goods in this shipment stage.,
cac:ExaminationTransportEvent,0..1,,TransportEvent,,The examination of shipments in this shipment stage.,
cac:AvailabilityTransportEvent,0..1,,TransportEvent,,The making available of shipments in this shipment stage.,
cac:ExportationTransportEvent,0..1,,TransportEvent,,The export event associated with this shipment stage.,
cac:DischargeTransportEvent,0..1,,TransportEvent,,The discharge event associated with this shipment stage.,
cac:WarehousingTransportEvent,0..1,,TransportEvent,,The warehousing event associated with this shipment stage.,
cac:TakeoverTransportEvent,0..1,,TransportEvent,,The receiver's takeover of the goods in this shipment stage.,
cac:OptionalTakeoverTransportEvent,0..1,,TransportEvent,,The optional takeover of the goods in this shipment stage.,
cac:DropoffTransportEvent,0..1,,TransportEvent,,The dropping off of goods in this shipment stage.,
cac:ActualPickupTransportEvent,0..1,,TransportEvent,,The pickup of goods in this shipment stage.,
cac:DeliveryTransportEvent,0..1,,TransportEvent,,The delivery of goods in this shipment stage.,
cac:ReceiptTransportEvent,0..1,,TransportEvent,,The receipt of goods in this shipment stage.,
cac:StorageTransportEvent,0..1,,TransportEvent,,The storage of goods in this shipment stage.,
cac:AcceptanceTransportEvent,0..1,,TransportEvent,,The acceptance of goods in this shipment stage.,
cac:TerminalOperatorParty,0..1,,Party,,A terminal operator associated with this shipment stage.,
cac:CustomsAgentParty,0..1,,Party,,A customs agent associated with this shipment stage.,
cac:EstimatedTransitPeriod,0..1,,Period,,The estimated transit period of this shipment stage.,
cac:FreightAllowanceCharge,0..n,,AllowanceCharge,,A freight allowance charge for this shipment stage.,
cac:FreightChargeLocation,0..1,,Location,,The location associated with a freight charge related to this shipment stage.,
cac:DetentionTransportEvent,0..n,,TransportEvent,,The detention of a transport means during loading and unloading operations.,
cac:RequestedDepartureTransportEvent,0..1,,TransportEvent,,The departure requested by the party requesting a transportation service.,
cac:RequestedArrivalTransportEvent,0..1,,TransportEvent,,The arrival requested by the party requesting a transportation service.,
cac:RequestedWaypointTransportEvent,0..n,,TransportEvent,,A waypoint requested by the party requesting a transportation service.,
cac:PlannedDepartureTransportEvent,0..1,,TransportEvent,,The departure planned by the party providing a transportation service.,
cac:PlannedArrivalTransportEvent,0..1,,TransportEvent,,The arrival planned by the party providing a transportation service.,
cac:PlannedWaypointTransportEvent,0..n,,TransportEvent,,A waypoint planned by the party providing a transportation service.,
cac:ActualDepartureTransportEvent,0..1,,TransportEvent,,The actual departure from a specific location during a transportation service.,
cac:ActualWaypointTransportEvent,0..1,,TransportEvent,,The location of an actual waypoint during a transportation service.,
cac:ActualArrivalTransportEvent,0..1,,TransportEvent,,The actual arrival at a specific location during a transportation service.,
cac:TransportEvent,0..n,,TransportEvent,,A significant occurrence in the course of this shipment of goods.,
cac:EstimatedDepartureTransportEvent,0..1,,TransportEvent,,Describes an estimated departure at a location during a transport service.,
cac:EstimatedArrivalTransportEvent,0..1,,TransportEvent,,Describes an estimated arrival at a location during a transport service.,
cac:PassengerPerson,0..n,,Person,,A person who travels in a conveyance without participating in its operation.,
cac:DriverPerson,0..n,,Person,,Describes a person responsible for driving the transport means.,
cac:ReportingPerson,0..1,,Person,,Describes a person being responsible for providing the required administrative reporting relating to a transport.,
cac:CrewMemberPerson,0..n,,Person,,A person operating or serving aboard a transport means.,
cac:SecurityOfficerPerson,0..1,,Person,,"The person on board the vessel, accountable to the master, designated by the company as responsible for the security of the ship, including implementation and maintenance of the ship security plan and for the liaison with the company security officer and the port facility security officers.",
cac:MasterPerson,0..1,,Person,,"The person responsible for the ship's safe and efficient operation, including cargo operations, navigation, crew management and for ensuring that the vessel complies with local and international laws, as well as company and flag state policies.",
cac:ShipsSurgeonPerson,0..1,,Person,,The person responsible for the health of the people aboard a ship at sea.,
cac:Signature,,,,,A class to define a signature.,
cbc:ID,1,IdentifierType,,,An identifier for this signature.,
cbc:Note,0..n,TextType,,,"Free-form text conveying information that is not contained explicitly in other structures; in particular, information regarding the circumstances in which the signature is being used.",
cbc:ValidationDate,0..1,DateType,,,The date upon which this signature was verified.,
cbc:ValidationTime,0..1,TimeType,,,The time at which this signature was verified.,
cbc:ValidatorID,0..1,IdentifierType,,,"An identifier for the organization, person, service, or server that verified this signature.",
cbc:CanonicalizationMethod,0..1,TextType,,,The method used to perform XML canonicalization of this signature.,
cbc:SignatureMethod,0..1,TextType,,,Text describing the method of signature.,
cac:SignatoryParty,0..1,,Party,,The signing party.,
cac:DigitalSignatureAttachment,0..1,,Attachment,,"The actual encoded signature (e.g., in XMLDsig format).",
cac:OriginalDocumentReference,0..1,,DocumentReference,,"A reference to the document that the signature applies to. For evidentiary purposes, this may be the document image that the signatory party saw when applying their signature.",
cac:StatementLine,,,,,A class to define a line in a Statement of account.,
cbc:ID,1,IdentifierType,,,An identifier for this statement line.,
cbc:Note,0..n,TextType,,,Free-form text conveying information that is not contained explicitly in other structures.,
cbc:UUID,0..1,IdentifierType,,,A universally unique identifier for this statement line.,
cbc:BalanceBroughtForwardIndicator,0..1,IndicatorType,,,An indication that this statement line contains an outstanding balance from the previous bill(s) (true) or does not (false).,1
cbc:DebitLineAmount,0..1,AmountType,,,The amount debited on this statement line.,
cbc:CreditLineAmount,0..1,AmountType,,,The amount credited on this statement line.,
cbc:BalanceAmount,0..1,AmountType,,,The balance amount on this statement line.,
cbc:PaymentPurposeCode,0..1,CodeType,,,A code signifying the business purpose for this payment.,
cac:PaymentMeans,0..1,,PaymentMeans,,A means of payment associated with this statement line.,
cac:PaymentTerms,0..n,,PaymentTerms,,A specification of payment terms associated with this statement line.,
cac:BuyerCustomerParty,0..1,,CustomerParty,,The buyer associated with this statement line.,
cac:SellerSupplierParty,0..1,,SupplierParty,,The seller/supplier associated with this statement line.,
cac:OriginatorCustomerParty,0..1,,CustomerParty,,The originating party.,
cac:AccountingCustomerParty,0..1,,CustomerParty,,The Accounting Customer Party related to the statement information reported on this Statement Line.,
cac:AccountingSupplierParty,0..1,,SupplierParty,,The Accounting Supplier Party related to the statement information reported on this Statement Line.,
cac:PayeeParty,0..1,,Party,,The payee.,
cac:InvoicePeriod,0..n,,Period,,An invoice period to which this statement line applies.,
cac:BillingReference,0..n,,BillingReference,,A reference to a billing document associated with this statement line.,
cac:DocumentReference,0..n,,DocumentReference,,A reference to a document associated with this statement line.,
cac:ExchangeRate,0..1,,ExchangeRate,,The rate of exchange between the currency of the Statement and the currency of the document described in the BillingReference.,
cac:AllowanceCharge,0..n,,AllowanceCharge,,A charge or discount price component associated with this statement line.,
cac:CollectedPayment,0..n,,Payment,,A collected payment.,
cac:Status,,,,,A class to describe the condition or position of an object.,
cbc:ConditionCode,0..1,CodeType,,,Specifies the status condition of the related object.,
cbc:ReferenceDate,0..1,DateType,,,The reference date for this status.,
cbc:ReferenceTime,0..1,TimeType,,,The reference time for this status.,
cbc:Description,0..n,TextType,,,Text describing this status.,
cbc:StatusReasonCode,0..1,CodeType,,,"The reason for this status condition or position, expressed as a code.",
cbc:StatusReason,0..n,TextType,,,"The reason for this status condition or position, expressed as text.",
cbc:SequenceID,0..1,IdentifierType,,,A sequence identifier for this status.,
cbc:Text,0..n,TextType,,,Provides any textual information related to this status.,
cbc:IndicationIndicator,0..1,IndicatorType,,,Specifies an indicator relevant to a specific status.,1
cbc:Percent,0..1,PercentType,,,A percentage meaningful in the context of this status.,
cbc:ReliabilityPercent,0..1,PercentType,,,"The reliability of this status, expressed as a percentage.",
cac:Condition,0..n,,Condition,,Measurements that quantify the condition of the objects covered by the status.,
cac:StockAvailabilityReportLine,,,,,A class to define a line in a Stock Availability Report describing the availability of an item of sale.,
cbc:ID,1,IdentifierType,,,An identifier for this stock availability line.,
cbc:Note,0..n,TextType,,,Free-form text conveying information that is not contained explicitly in other structures.,
cbc:Quantity,1,QuantityType,,,The quantity of the item currently in stock.,
cbc:ValueAmount,0..1,AmountType,,,The monetary value of the quantity of the item currently in stock.,
cbc:AvailabilityDate,0..1,DateType,,,The date from which the item will be available. A date identical to or earlier than the IssueDate of the Stock Availability Report means that the item is available now,
cbc:AvailabilityStatusCode,0..1,CodeType,,,A code signifying the level of availability of the item.,
cac:Item,1,,Item,,The item associated with this stock availability report line.,
cac:Stowage,,,,,A class to describe a location on board a means of transport where specified goods or transport equipment have been stowed or are to be stowed.,
cbc:LocationID,0..1,IdentifierType,,,An identifier for the location.,
cbc:Location,0..n,TextType,,,Text describing the location.,
cac:MeasurementDimension,0..n,,Dimension,,"A measurable dimension (length, mass, weight, or volume) of this stowage.",
cac:SubcontractTerms,,,,,A class to describe subcontract terms for a tendering process.,
cbc:Rate,0..1,RateType,,,MF: I agree with the query. Rate?,
cbc:UnknownPriceIndicator,0..1,IndicatorType,,,An indicator that the subcontract price is known (true) or not (false).,1
cbc:Description,0..n,TextType,,,Text describing the subcontract terms.,
cbc:Amount,0..1,AmountType,,,The monetary amount assigned to the subcontracted task.,
cbc:SubcontractingConditionsCode,0..1,CodeType,,,A code specifying the conditions for subcontracting.,
cbc:MaximumPercent,0..1,PercentType,,,The maximum percentage allowed to be subcontracted.,
cbc:MinimumPercent,0..1,PercentType,,,The minimum percentage allowed to be subcontracted.,
cac:SubscriberConsumption,,,,,The consumption for a specific party for given consumption point provided by a numbers of suppliers. An enterprise can have one utility statement for several parties (e.g. a ministry of defence receiving a telephone bill). In this way each subscriber consumption represent a sub utility statement.,
cbc:ConsumptionID,0..1,IdentifierType,,,The identifier tor this specification.,
cbc:SpecificationTypeCode,0..1,CodeType,,,"The code which specifies the type of this specification, e.g. an on account specification or the yearly specification.",
cbc:Note,0..n,TextType,,,Free-form text conveying information that is not contained explicitly in other structures.,This is how we have calculating your yearly statement
cbc:TotalMeteredQuantity,0..1,QuantityType,,,"The total quantity consumed, as calculated from meter readings.",
cac:SubscriberParty,0..1,,Party,,The party subscribing to the utility.,
cac:UtilityConsumptionPoint,1,,ConsumptionPoint,,The point at which the utility is consumed.,
cac:OnAccountPayment,0..n,,OnAccountPayment,,The planned prepayments (on account) regarding this subscription.,
cac:Consumption,0..1,,Consumption,,The consumption in case the consumption is from one and only one supplier.,
cac:SupplierConsumption,0..n,,SupplierConsumption,,The consumption in case the consumption is from more than one supplier.,
cac:SupplierConsumption,,,,,The consumption in case the consumption is for one and only one supplier.,
cbc:Description,0..n,TextType,,,Free-form text conveying information that is not contained explicitly in other structures.,This is what you pay for electricity to DONG Energy North Utility
cac:UtilitySupplierParty,0..1,,Party,,The party supplying the utility.,
cac:UtilityCustomerParty,0..1,,Party,,The utility customer.,
cac:Consumption,1,,Consumption,,The consumption regarding this supplier,
cac:Contract,0..1,,Contract,,A contract setting forth conditions regulating the consumption.,
cac:ConsumptionLine,1..n,,ConsumptionLine,,The consumption of a utility product.,
cac:SupplierParty,,,,,A class to describe a supplier party.,
cbc:CustomerAssignedAccountID,0..1,IdentifierType,,,"An identifier for this supplier party, assigned by the customer.",
cbc:AdditionalAccountID,0..n,IdentifierType,,,An additional identifier for this supplier party.,
cbc:DataSendingCapability,0..1,TextType,,,"Text describing the supplier's ability to send invoice data via a purchase card provider (e.g., VISA, MasterCard, American Express).",
cac:Party,0..1,,Party,,The supplier party itself.,
cac:DespatchContact,0..1,,Contact,,A contact at this supplier party for despatches (pickups).,
cac:AccountingContact,0..1,,Contact,,A contact at this supplier party for accounting.,
cac:SellerContact,0..1,,Contact,,The primary contact for this supplier party.,
cac:TaxCategory,,,,,"A class to describe one of the tax categories within a taxation scheme (e.g., High Rate VAT, Low Rate VAT).",
cbc:ID,0..1,IdentifierType,,,An identifier for this tax category.,http://www.unece.org/uncefact/codelist/standard/UNECE_DutyorTaxorFeeCategoryCode_D09B.xsd
cbc:Name,0..1,NameType,,,The name of this tax category.,"Luxury Goods , Wine Equalization , Exempt "
cbc:Percent,0..1,PercentType,,,"The tax rate for this category, expressed as a percentage.",
cbc:BaseUnitMeasure,0..1,MeasureType,,,A Unit of Measures used as the basic for the tax calculation applied at a certain rate per unit.,
cbc:PerUnitAmount,0..1,AmountType,,,"Where a tax is applied at a certain rate per unit, the rate per unit applied.",
cbc:TaxExemptionReasonCode,0..1,CodeType,,,"The reason for tax being exempted, expressed as a code.",http://www.unece.org/uncefact/codelist/standard/UNECE_DutyTaxFeeTypeCode_D09B.xsd
cbc:TaxExemptionReason,0..n,TextType,,,"The reason for tax being exempted, expressed as text.",
cbc:TierRange,0..1,TextType,,,"Where a tax is tiered, the range of taxable amounts that determines the rate of tax applicable to this tax category.",
cbc:TierRatePercent,0..1,PercentType,,,"Where a tax is tiered, the tax rate that applies within the specified range of taxable amounts for this tax category.",
cac:TaxScheme,1,,TaxScheme,,The taxation scheme within which this tax category is defined.,
cac:TaxScheme,,,,,"A class to describe a taxation scheme (e.g., VAT, State tax, County tax).",
cbc:ID,0..1,IdentifierType,,,An identifier for this taxation scheme.,http://www.unece.org/uncefact/codelist/standard/EDIFICASEU_TaxExemptionReason_D09B.xsd
cbc:Name,0..1,NameType,,,The name of this taxation scheme.,"Value Added Tax , Wholesale Tax , Sales Tax , State Tax "
cbc:TaxTypeCode,0..1,CodeType,,,A code signifying the type of tax.,"Consumption , Sales "
cbc:CurrencyCode,0..1,CodeType,,,A code signifying the currency in which the tax is collected and reported.,JPY
cac:JurisdictionRegionAddress,0..n,,Address,,A geographic area in which this taxation scheme applies.,
cac:TaxSubtotal,,,,,"A class to define the subtotal for a particular tax category within a particular taxation scheme, such as standard rate within VAT.",
cbc:TaxableAmount,0..1,AmountType,,,The net amount to which the tax percent (rate) is applied to calculate the tax amount.,
cbc:TaxAmount,1,AmountType,,,The amount of this tax subtotal.,
cbc:CalculationSequenceNumeric,0..1,NumericType,,,"The number of this tax subtotal in the sequence of subtotals corresponding to the order in which multiple taxes are applied. If all taxes are applied to the same taxable amount (i.e., their order of application is inconsequential), then CalculationSequenceNumeric is 1 for all tax subtotals applied to a given amount.",
cbc:TransactionCurrencyTaxAmount,0..1,AmountType,,,"The amount of this tax subtotal, expressed in the currency used for invoicing.",
cbc:Percent,0..1,PercentType,,,"The tax rate of the tax category applied to this tax subtotal, expressed as a percentage.",
cbc:BaseUnitMeasure,0..1,MeasureType,,,The unit of measure on which the tax calculation is based,
cbc:PerUnitAmount,0..1,AmountType,,,"Where a tax is applied at a certain rate per unit, the rate per unit applied.",
cbc:TierRange,0..1,TextType,,,"Where a tax is tiered, the range of taxable amounts that determines the rate of tax applicable to this tax subtotal.",
cbc:TierRatePercent,0..1,PercentType,,,"Where a tax is tiered, the tax rate that applies within a specified range of taxable amounts for this tax subtotal.",
cac:TaxCategory,1,,TaxCategory,,The tax category applicable to this subtotal.,
cac:TaxTotal,,,,,A class to describe the total tax for a particular taxation scheme.,
cbc:TaxAmount,1,AmountType,,,"The total tax amount for a particular taxation scheme, e.g., VAT; the sum of the tax subtotals for each tax category within the taxation scheme.",
cbc:RoundingAmount,0..1,AmountType,,,The rounding amount (positive or negative) added to the calculated tax total to produce the rounded TaxAmount.,
cbc:TaxEvidenceIndicator,0..1,IndicatorType,,,An indicator that this total is recognized as legal evidence for taxation purposes (true) or not (false).,0
cbc:TaxIncludedIndicator,0..1,IndicatorType,,,An indicator that tax is included in the calculation (true) or not (false).,1
cac:TaxSubtotal,0..n,,TaxSubtotal,,One of the subtotals the sum of which equals the total tax amount for a particular taxation scheme.,
cac:TelecommunicationsService,,,,,"A class to describe a telecommunications service (e.g., a telephone call or a video on demand service).",
cbc:ID,0..1,IdentifierType,,,An identifier for this telecommunications service.,
cbc:CallDate,1,DateType,,,"In the case of a telephone call, the date of the call.",2008-01-01
cbc:CallTime,1,TimeType,,,"In the case of a telephone call, the time of the call.",00:01:00
cbc:ServiceNumberCalled,1,TextType,,,"In the case of a telephone call, the phone number called.",12345679
cbc:TelecommunicationsServiceCategory,0..1,TextType,,,"The telecommunications category, expressed as text.",Subscription
cbc:TelecommunicationsServiceCategoryCode,0..1,CodeType,,,"The telecommunications category, expressed as a code.",Subscription
cbc:MovieTitle,0..1,TextType,,,The title of a movie delivered via this telecommunications service.,The Matrix
cbc:RoamingPartnerName,0..1,NameType,,,Statement of the roaming partner name.,
cbc:PayPerView,0..1,TextType,,,A pay-per-view delivered via this telecommunications service.,
cbc:Quantity,0..1,QuantityType,,,The number of calls.,
cbc:TelecommunicationsServiceCall,0..1,TextType,,,The telecommunications call described as a text,CallAttempt
cbc:TelecommunicationsServiceCallCode,0..1,CodeType,,,The telecommunications call described as a code,CallAttempt
cbc:CallBaseAmount,0..1,AmountType,,,The amount to be payed as the base for one call,
cbc:CallExtensionAmount,0..1,AmountType,,,The amount to be payed for the call,542.44
cac:Price,0..1,,Price,,The price for using the telecommunication service,
cac:Country,0..1,,Country,,The country to which the service is provided. In case of a telephone call it is the country where the receiver is located.,
cac:ExchangeRate,0..n,,ExchangeRate,,A exchanges rates used in the pricing e.g.. when phone calls has crossed border lines.,
cac:AllowanceCharge,0..n,,AllowanceCharge,,An allowance or charge that applies to the UtilityStatement as a whole.,
cac:TaxTotal,0..n,,TaxTotal,,A total amount of taxes of a particular kind applicable to this telecommunications service.,
cac:CallDuty,0..n,,Duty,,"In the case of a telephone call, a duty on this call.",
cac:TimeDuty,0..n,,Duty,,A duty on a consumption of time.,
cac:TelecommunicationsSupply,,,,,"A class describing the supply of a telecommunication service, e.g., providing telephone calls.",
cbc:TelecommunicationsSupplyType,0..1,TextType,,,"The type of telecommunications supply, expressed as text.",Itemized tele Statement
cbc:TelecommunicationsSupplyTypeCode,0..1,CodeType,,,"The type of telecommunications supply, expressed as a code.",TeleExtended
cbc:PrivacyCode,1,CodeType,,,A code signifying the level of confidentiality of this information for this telecommunication supply.,CompanyLevel
cbc:Description,0..n,TextType,,,Text describing the telecommunications supply.,Extended conversation Statement January quarter 2008.
cbc:TotalAmount,0..1,AmountType,,,The total amount associated with this telecommunications supply.,
cac:TelecommunicationsSupplyLine,1..n,,TelecommunicationsSupplyLine,,Outlines the provided telecommunication supply,
cac:TelecommunicationsSupplyLine,,,,,A class that outlines the telecommunication supply in details,
cbc:ID,1,IdentifierType,,,An identifier for this telecommunications supply line.,1
cbc:PhoneNumber,1,TextType,,,The phone number used for this telecommunication supply line,12345678
cbc:Description,0..n,TextType,,,The description of the telecommunication supply line,Additional informations
cbc:LineExtensionAmount,0..1,AmountType,,,An amount specifying the cost of this telecommunication line,
cac:ExchangeRate,0..n,,ExchangeRate,,Exchanges rates used to calculate the amount for this line.,
cac:AllowanceCharge,0..n,,AllowanceCharge,,An allowance or charge that applies to this telecommunication supply line.,
cac:TaxTotal,0..n,,TaxTotal,,A total amount of taxes of a particular kind applicable to this telecommunications supply line,
cac:TelecommunicationsService,1..n,,TelecommunicationsService,,"A telecommunications service (e.g., a telephone call).",
cac:Temperature,,,,,A class to describe a measurement of temperature.,
cbc:AttributeID,1,IdentifierType,,,An identifier for this temperature measurement.,
cbc:Measure,1,MeasureType,,,The value of this temperature measurement.,
cbc:Description,0..n,TextType,,,Text describing this temperature measurement.,at sea level 
cac:TenderLine,,,,,A class to define a line in a Tender.,
cbc:ID,0..1,IdentifierType,,,An identifier for this tender line.,
cbc:Note,0..n,TextType,,,Free-form text conveying information that is not contained explicitly in other structures.,
cbc:Quantity,0..1,QuantityType,,,The quantity of the item quoted in this tender line.,
cbc:LineExtensionAmount,0..1,AmountType,,,"The total amount for this tender line, including allowance charges but net of taxes.",
cbc:TotalTaxAmount,0..1,AmountType,,,The total tax amount for this tender line.,
cbc:OrderableUnit,0..1,TextType,,,Text describing a unit in which the item described in this tender line can be ordered.,
cbc:ContentUnitQuantity,0..1,QuantityType,,,The unit of measure and quantity of the orderable unit.,
cbc:OrderQuantityIncrementNumeric,0..1,NumericType,,,The number of items that can set the order quantity increments.,
cbc:MinimumOrderQuantity,0..1,QuantityType,,,The minimum number of items described in this tender line that can be ordered.,
cbc:MaximumOrderQuantity,0..1,QuantityType,,,The maximum number of items described in this tender line that can be ordered.,
cbc:WarrantyInformation,0..n,TextType,,,Text about a warranty (provided by WarrantyParty) for the good or service described in this tender line.,"Unless specified otherwise and in addition to any rights the Customer may have under statute, Dell warrants to the Customer that Dell branded Products (excluding third party products and software), will be free from defects in materials and workmanship affecting normal use for a period of one year from invoice date ( Standard Warranty ). "
cbc:PackLevelCode,0..1,CodeType,,,A mutually agreed code signifying the level of packaging associated with the item described in this tender line.,"level 2 , Group 4 "
cac:DocumentReference,0..n,,DocumentReference,,A reference to a document associated with this tender line.,
cac:Item,0..1,,Item,,The item associated with this tender line.,
cac:OfferedItemLocationQuantity,0..n,,ItemLocationQuantity,,"A set of location-specific properties (e.g., price, quantity, lead time) associated with the item described in this tender line.",
cac:ReplacementRelatedItem,0..n,,RelatedItem,,A catalogue item that may be a replacement for the item described in this tender line.,
cac:WarrantyParty,0..1,,Party,,The party responsible for any warranty described in this tender line.,
cac:WarrantyValidityPeriod,0..1,,Period,,The period for which a warranty associated with the item described in this tender line is valid.,
cac:SubTenderLine,0..n,,TenderLine,x,An association to a Sub Tender Line,
cac:CallForTendersLineReference,0..1,,LineReference,,Reference to a Line on a Call For Tenders document.,
cac:CallForTendersDocumentReference,0..1,,DocumentReference,,A class defining references to a Call For Tenders document.,
cac:TenderPreparation,,,,,A class to describe directions for preparing a tender.,
cbc:TenderEnvelopeID,1,IdentifierType,,,An identifier for the tender envelope to be used with the tender.,
cbc:TenderEnvelopeTypeCode,0..1,CodeType,,,A code signifying the type of tender envelope (economical or objective criteria versus technical or subjective criteria).,
cbc:Description,0..n,TextType,,,Text describing the tender envelope.,
cbc:OpenTenderID,0..1,IdentifierType,,,An identifier for the open tender associated with this tender preparation.,
cac:ProcurementProjectLot,0..n,,ProcurementProjectLot,,The procurement project lot associated with a particular tenderer.,
cac:DocumentTenderRequirement,0..n,,TenderRequirement,,A reference to the template for a required document in a tendering process.,"Curricula required, Experience required, ...."
cac:TenderRequirement,,,,,A template for a required document in a tendering process.,
cbc:Name,1,NameType,,,A name of this tender requirement.,
cbc:Description,0..n,TextType,,,Text describing this tender requirement.,
cac:TemplateDocumentReference,0..1,,DocumentReference,,A reference to the template for a required document.,
cac:TenderResult,,,,,A class to describe the awarding of a tender in a tendering process.,
cbc:TenderResultCode,0..1,CodeType,,,A code signifying the result of the tendering process.,
cbc:Description,0..n,TextType,,,Text describing the result of the tendering process.,
cbc:AdvertisementAmount,0..1,AmountType,,,The monetary value of the advertisement for this tendering process. ,
cbc:AwardDate,1,DateType,,,The date on which this result was formalized.,
cbc:AwardTime,0..1,TimeType,,,The time at which this result was formalized.,
cbc:ReceivedTenderQuantity,0..1,QuantityType,,,The total number of tenders received in this tendering process.,
cbc:LowerTenderAmount,0..1,AmountType,,,The least expensive tender received in the tendering process.,
cbc:HigherTenderAmount,0..1,AmountType,,,The most expensive tender received in this tendering process.,
cbc:StartDate,0..1,DateType,,,The date on which the awarded contract begins.,
cbc:ReceivedElectronicTenderQuantity,0..1,QuantityType,,,The number of electronic tenders received.,
cbc:ReceivedForeignTenderQuantity,0..1,QuantityType,,,The number of foreing tenders received.,
cac:Contract,0..1,,Contract,,A contract governing this tender result.,
cac:AwardedTenderedProject,0..1,,TenderedProject,,The awarded tendered project associated with this tender result.,
cac:ContractFormalizationPeriod,0..1,,Period,,The period during which a contract associated with the awarded project is to be formalized.,
cac:SubcontractTerms,0..n,,SubcontractTerms,,Subcontract terms for this tender result.,
cac:WinningParty,0..n,,WinningParty,,A party that is identified as the awarded by a tender result.,
cac:TenderedProject,,,,,A class to describe a tendered project or project lot.,
